source_object_id,permit_number,date_of_permit_issuance,estimated_project_value,work_type,primary_work_scope,permit_status,community,district,net_new_units,number_of_storeys,type_of_structure,latitude,longitude
5273,BPCOM-2026-05245,,22000,New Building,New Building,Applicant Revisions,,District 02,0,1,Commercial,44.79723011525248,-63.39320962588997
5274,BPCOM-2026-05251,,22000,New Building,New Building,Applicant Revisions,,District 02,0,1,Commercial,44.79723011525248,-63.39320962588997
5275,BPCOM-2026-05344,2026-05-11,150000,Renovation,Renovation,Issued,HALIFAX,District 09,0,1,Commercial,44.64227977205727,-63.62030071584588
5276,BPCOM-2026-05437,2026-05-25,215000,Renovation,Renovation,Issued,BEECHVILLE,District 12,0,1,Industrial,44.64913962462528,-63.68329974030222
5277,BPCOM-2026-05509,,1200000,Addition,Addition,In Review,DARTMOUTH,District 06,0,1,Industrial,44.704102426340576,-63.59112171129286
5278,BPCOM-2026-05767,,200000000,New Building,New Building,Applicant Revisions,HALIFAX,District 09,1174,28,Mixed Use - Residential & Other Use(s),44.64731925959862,-63.592742665981284
5279,BPCOM-2026-05787,,22000,New Building,New Building,Applicant Revisions,,District 02,0,1,Commercial,44.79723011525248,-63.39320962588997
5280,BPCOM-2026-05979,,50000,Renovation,Renovation,Applicant Revisions,DARTMOUTH,District 05,0,1,Commercial,44.663776757623694,-63.564629491082115
5281,BPCOM-2026-06238,,65000,New Building,New Building,Applicant Revisions,BEDFORD,District 14,0,1,Accessory Structure,44.728581957186435,-63.69551418420472
5282,BPCOM-2026-06450,2026-05-27,250000,Renovation,Renovation,Issued,HALIFAX,District 07,0,15,Institutional and Governmental,44.63766037121574,-63.58290646199572
5283,BPCOM-2026-06603,,30000,Renovation,Renovation,Applicant Revisions,HUBBARDS,District 13,0,1,Accessory Structure,44.630965899339316,-64.05351287337247
5284,BPCOM-2026-06772,,5000,Renovation,Renovation,Application Incomplete,BEDFORD,District 16,0,1,Commercial,44.73719651736138,-63.647411261443644
5285,BPCOM-2026-06883,,20000,New Building,New Building,In Review,HAMMONDS PLAINS,District 14,0,1,Commercial,44.73196326745975,-63.75928775592651
5286,BPCOM-2026-07029,,4500,Renovation,Renovation,In Review,HAMMONDS PLAINS,District 14,1,2,Mixed Use - Residential & Other Use(s),44.73828882993808,-63.752543151023076
5287,BPCOM-2026-07066,,20000,Renovation,Renovation,Applicant Revisions,HALIFAX,District 09,0,2,Commercial,44.64449805475674,-63.59254848057336
5288,BPCOM-2026-07161,2026-06-15,25000,Renovation,Renovation,Issued,BEDFORD,District 16,0,3,Commercial,44.74733866504509,-63.62921194241388
5289,BPCOM-2026-07274,,200000,Renovation,Renovation,Applicant Revisions,DARTMOUTH,District 05,0,1,Commercial,44.68656042112191,-63.55952448193897
5290,BPCOM-2026-07555,,19000000,Renovation,Renovation,In Review,HALIFAX,District 07,119,13,Mixed Use - Residential & Other Use(s),44.647344471063185,-63.57290898265566
5291,BPCOM-2026-07616,2026-06-22,250000,Renovation,Renovation,Issued,HALIFAX,District 08,0,1,Commercial,44.65869744780435,-63.60225192855964
5292,BPCOM-2026-07891,,10000000,Renovation,Renovation,In Review,BEECHVILLE,District 12,0,1,Industrial,44.64996397924841,-63.681796608267696
5293,BPCOM-2026-07943,,1000000,Addition,Addition,Application Incomplete,HALIFAX,District 08,0,2,Institutional and Governmental,44.65419392396542,-63.585825752089335
5294,BPCOM-2026-08043,,412546,Renovation,Renovation,In Review,HALIFAX,District 07,0,1,Commercial,44.64221266243059,-63.581803599917656
5295,BPCOM-2026-08224,,30000,Renovation,Renovation,In Review,HALIFAX,District 07,0,4,Commercial,44.644267695363055,-63.57006229799719
5296,BPCOM-2026-08290,,965000,Renovation,Renovation,Submitted,DARTMOUTH,District 05,0,10,Mixed Use - Residential & Other Use(s),44.664048195149505,-63.56685552077682
5297,BPCOM-2026-08406,2026-07-06,500000,Renovation,Renovation,Issued,HALIFAX,District 09,0,3,Accessory Structure,44.649368575944415,-63.61874247106554
5298,BPCOM-2026-08771,,12000,Renovation,Renovation,In Review,HALIFAX,District 09,0,2,Commercial,44.64453411054719,-63.600751458519596
5299,BPCOM-2026-09048,,750000,Renovation,Renovation,Submitted,HALIFAX,District 07,0,3,Commercial,44.644366382772624,-63.57096397831999
5300,BPRES-2021-10344,2021-12-02,300000,Addition,Addition,Expired,,District 07,1,2,Dwelling - Multiple Units,,
5301,BPRES-2021-10372,2021-08-12,14400,Renovation,Renovation,Completed,COLE HARBOUR,District 04,1,1,Dwelling - Multiple Units,44.64191133325577,-63.4722741871194
5302,BPRES-2021-10411,2021-09-16,8000,Renovation,Renovation,Completed,HALIFAX,District 08,1,1,Dwelling - Multiple Units,44.65948798326786,-63.59892155473344
5303,BPRES-2021-10469,2021-08-20,5600,Renovation,Renovation,Completed,DARTMOUTH,District 05,0,2,Dwelling - Multiple Units,44.667115241973015,-63.56607921838109
5304,BPRES-2021-10486,2021-06-25,375000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.80152178094662,-63.72442652981747
5305,BPRES-2021-10502,2021-06-25,30000,New Building,New Building,Expired (Closed),FALL RIVER,District 01,0,1,Accessory Structure,44.84154313704877,-63.63496444047369
5306,BPRES-2021-10528,2021-09-28,275000,New Building,New Building,Expired (Closed),HAMMONDS PLAINS,District 14,1,1,Dwelling - Single Detached,44.7338953713191,-63.7284992079382
5307,BPRES-2021-10578,,35000,New Building,New Building,Applicant Revisions,FALL RIVER,District 01,0,1,Accessory Structure,44.823535573224056,-63.61289466193594
5308,BPRES-2021-10605,2022-06-07,25000,New Building,New Building,Completed,BEAVER BANK,District 15,0,1,Accessory Structure,44.833687924679204,-63.665523501532405
5309,BPRES-2021-10634,,180000,New Building,New Building,Withdrawn,BROOKSIDE,District 13,1,1,Dwelling - Backyard Suite,44.540150593781846,-63.70800382117488
5310,BPRES-2021-10661,2021-07-22,25000,New Building,New Building,Completed,LAWRENCETOWN,District 02,0,1,Accessory Structure,44.685672831472836,-63.430349974806745
5311,BPRES-2021-10686,2021-12-23,25000,Renovation,Renovation,Issued,DARTMOUTH,District 03,1,2,Dwelling - Multiple Units,44.66460328057328,-63.5427387503636
5312,BPRES-2021-10722,2021-07-05,50000,Renovation,Renovation,Completed,BEDFORD,District 16,1,3,Dwelling - Semi-Detached,44.719206344938044,-63.680457377037015
5313,BPRES-2021-10752,2021-06-25,30000,New Building,New Building,Expired,PORTERS LAKE,District 02,0,1,Accessory Structure,44.735372444221355,-63.325091431915276
5314,BPRES-2021-10777,2021-07-12,42000,New Building,New Building,Completed,HAMMONDS PLAINS,District 14,0,1,Accessory Structure,44.72022467165874,-63.82599286293464
5315,BPRES-2021-10837,2021-07-05,450000,New Building,New Building,Completed,ENFIELD,District 01,1,2,Dwelling - Single Detached,44.939938829973386,-63.5246833493866
5316,BPRES-2021-10897,2021-08-13,250000,Addition,Addition,Completed,HALIFAX,District 09,0,2,Dwelling - Single Detached,44.646166332057184,-63.60770965876524
5317,BPRES-2021-10917,2022-05-27,70000,Addition,Addition,Completed,HALIFAX,District 08,0,3,Dwelling - Single Detached,44.670825708537954,-63.604836819788225
5318,BPRES-2021-10943,2021-07-12,63000,New Building,New Building,Completed,HAMMONDS PLAINS,District 14,0,2,Accessory Structure,44.69443565301862,-63.728310519039326
5319,BPRES-2021-11011,2021-08-27,210000,New Building,New Building,Completed,BOUTILIERS POINT,District 13,1,1,Dwelling - Single Detached,44.6556699860588,-63.94867565267097
5320,BPRES-2021-11044,2021-07-22,97000,Renovation,Renovation,Expired,DARTMOUTH,District 06,0,2,Dwelling - Single Detached,44.68311346019717,-63.539029364369576
5321,BPRES-2021-11079,,11000,New Building,New Building,Withdrawn,EASTERN PASSAGE,District 03,0,1,Accessory Structure,44.597751076476044,-63.458143662014145
5322,BPRES-2021-11095,2021-08-17,800000,New Building,New Building,Completed,LEWIS LAKE,District 13,1,3,Dwelling - Single Detached,44.6753378163028,-63.83366465258707
5323,BPRES-2021-11191,2021-10-01,150000,New Building,New Building,Completed,FERGUSONS COVE,District 11,1,2,Dwelling - Backyard Suite,44.603907371883565,-63.559329650706154
5324,BPRES-2021-11224,2021-09-16,53000,Addition,Addition,Issued,MIDDLE SACKVILLE,District 14,0,2,Dwelling - Single Detached,44.81117738693899,-63.74601652290548
5325,BPRES-2021-11267,2021-07-14,31500,New Building,New Building,Completed,DEVON,District 01,0,1,Accessory Structure,44.9057529847258,-63.42645120834852
5326,BPRES-2021-11294,2021-08-12,398000,New Building,New Building,Completed,HALIFAX,District 11,2,3,Dwelling - Semi-Detached,44.592490494495564,-63.597864508726
5327,BPRES-2021-11353,2021-06-30,27700,New Building,New Building,Completed,PORTERS LAKE,District 02,0,1,Accessory Structure,44.74876101889469,-63.291899357974046
5328,BPRES-2021-11423,2021-10-29,84500,New Building,New Building,Expired,MIDDLE SACKVILLE,District 14,1,1,Dwelling - Backyard Suite,44.79128112594229,-63.76535298193889
5329,BPRES-2021-11461,2021-08-05,25000,New Building,New Building,Completed,LUCASVILLE,District 14,0,1,Accessory Structure,44.759922172766935,-63.71599139530158
5330,BPRES-2021-11486,,46000,Renovation,Renovation,Application Incomplete,HALIFAX,District 11,1,1,Dwelling - Multiple Units,44.5897429275345,-63.59483744821357
5331,BPRES-2021-11547,2021-07-22,600000,New Building,New Building,Completed,UPPER TANTALLON,District 13,2,2,Dwelling - Multiple Units,44.70359256238914,-63.885021267396205
5332,BPRES-2021-11578,,128500,Addition,Addition,Withdrawn,FALL RIVER,District 01,0,1,Dwelling - Single Detached,44.82045036155683,-63.63581307598714
5333,BPRES-2021-11599,2021-07-15,320000,New Building,New Building,Completed,HALIFAX,District 11,2,1,Dwelling - Semi-Detached,44.59219972746325,-63.598903061350875
5334,BPRES-2021-11648,2021-12-22,350000,New Building,New Building,Expired,HALIFAX,District 10,3,1,Dwelling - Semi-Detached,44.65244287321691,-63.64113278515133
5335,BPRES-2021-11678,2021-12-01,500000,New Building,New Building,Completed,BOUTILIERS POINT,District 13,1,2,Dwelling - Single Detached,44.67342765474982,-63.93460200315327
5336,BPRES-2021-11687,,,Renovation,Renovation,Applicant Revisions,TIMBERLEA,District 12,1,2,Dwelling - Multiple Units,44.64987756310112,-63.73470924211526
5337,BPRES-2021-11720,2021-08-13,300000,New Building,New Building,Completed,OAKFIELD,District 01,1,1,Dwelling - Single Detached,44.916554709145394,-63.56576305892638
5338,BPRES-2021-11794,2021-07-15,375000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,1,Dwelling - Single Detached,44.79012674685329,-63.76900611442184
5339,BPRES-2021-11824,2021-07-15,400000,New Building,New Building,Completed,PORTERS LAKE,District 02,1,1,Dwelling - Single Detached,44.75279297863456,-63.32266682517022
5340,BPRES-2021-11833,2021-07-15,20166,Renovation,Renovation,Expired,HALIBUT BAY,District 11,0,2,Dwelling - Single Detached,44.54964313276327,-63.55642924683054
5341,BPRES-2021-11862,2021-09-23,30000,Addition,Addition,Completed,HERRING COVE,District 11,0,1,Dwelling - Single Detached,44.560322365472935,-63.563891936989954
5342,BPRES-2021-11910,,,Renovation,Renovation,Cancelled,DARTMOUTH,District 05,1,2,Dwelling - Multiple Units,44.67893383826041,-63.5862277406373
5343,BPRES-2021-11989,2021-07-26,245000,Renovation,Renovation,Completed,HALIFAX,District 07,0,2,Dwelling - Single Detached,44.63055549968492,-63.5917599166398
5344,BPRES-2021-12035,2021-08-17,25000,New Building,New Building,Completed,ELMSDALE,District 01,0,2,Accessory Structure,44.94548346835692,-63.4913920570834
5345,BPRES-2021-12042,2021-08-05,46448,Renovation,Renovation,Completed,HALIFAX,District 08,0,2,Dwelling - Townhouse,44.65167581679943,-63.59022890040836
5346,BPRES-2021-12055,2021-07-27,18827,Renovation,Renovation,Completed,HALIFAX,District 16,0,2,Dwelling - Single Detached,44.6929245280058,-63.67445477080063
5347,BPRES-2021-12077,2021-08-04,500000,New Building,New Building,Completed,GLEN HAVEN,District 13,1,2,Dwelling - Single Detached,44.64291585635243,-63.91575820138402
5348,BPRES-2021-12102,2022-06-14,120000,New Building,New Building,Issued,MIDDLE SACKVILLE,District 14,0,1,Dwelling - Backyard Suite,44.818609811088315,-63.721573099085134
5349,BPRES-2021-12138,2021-08-30,7000,Renovation,Renovation,Completed,HALIFAX,District 10,1,2,Dwelling - Townhouse,44.672070207584355,-63.65874684829987
5350,BPRES-2021-12149,2021-08-17,10000,New Building,New Building,Expired (Closed),WEST CHEZZETCOOK,District 02,0,1,Accessory Structure,44.7062141675499,-63.282455295023745
5351,BPRES-2021-12175,2021-08-18,23000,New Building,New Building,Completed,HALIFAX,District 08,0,1,Accessory Structure,44.66511586962521,-63.6062803359487
5352,BPRES-2021-12223,2021-07-28,425000,New Building,New Building,Completed,EASTERN PASSAGE,District 03,1,2,Dwelling - Single Detached,44.612056453301506,-63.45137459146827
5353,BPRES-2021-12249,,200000,Addition,Addition,Withdrawn,HATCHET LAKE,District 13,0,3,Dwelling - Single Detached,44.56786601835351,-63.73408041781977
5354,BPRES-2021-12287,2021-08-09,37000,Renovation,Renovation,Expired,PLEASANT HARBOUR,District 02,0,2,Dwelling - Single Detached,44.78874700614182,-62.73125874057119
5355,BPRES-2021-12314,2021-10-01,400,New Building,New Building,Expired (Closed),COW BAY,District 03,0,1,Accessory Structure,44.624779148204524,-63.447746946666356
5356,BPRES-2021-12336,2021-08-20,350000,Addition,Addition,Completed,UPPER TANTALLON,District 13,0,2,Dwelling - Single Detached,44.68759115342346,-63.86344184470861
5357,BPRES-2021-12376,2021-10-18,10500,Addition,Addition,Completed,OSTREA LAKE,District 02,0,1,Accessory Structure,44.78209095027484,-63.102291736487366
5358,BPRES-2021-12410,2022-03-16,57000,New Building,New Building,Expired,COLLEGE LAKE,District 01,0,2,Accessory Structure,45.23164514072212,-62.7991857134902
5359,BPRES-2021-12463,2021-07-30,590000,New Building,New Building,Completed,TANTALLON,District 13,1,2,Dwelling - Single Detached,44.65011645356577,-63.90112548148626
5360,BPRES-2021-12472,2021-08-04,319531.72,New Building,New Building,Completed,FALL RIVER,District 01,1,1,Dwelling - Single Detached,44.834084364821116,-63.60911865689625
5361,BPRES-2021-12547,2021-09-10,137000,New Building,New Building,Issued,COW BAY,District 03,1,1,Dwelling - Single Detached,44.65077043392722,-63.42430398004631
5362,BPRES-2021-12620,2021-08-06,500000,New Building,New Building,Completed,UPPER TANTALLON,District 13,1,2,Dwelling - Single Detached,44.70419295442973,-63.88778213259538
5363,BPRES-2021-12671,2021-08-27,344286,New Building,New Building,Completed,KETCH HARBOUR,District 11,1,1,Dwelling - Single Detached,44.48310568982299,-63.563300970416236
5364,BPRES-2021-12728,2021-09-14,48500,Addition,Addition,Completed,LAWRENCETOWN,District 02,0,2,Dwelling - Single Detached,44.68268728964544,-63.44678384111024
5365,BPRES-2021-12751,,8000,Renovation,Renovation,Withdrawn,WINDSOR JUNCTION,District 01,0,2,Accessory Structure,44.800007511956345,-63.640748712946284
5366,BPRES-2021-12782,2021-10-06,150000,Addition,Addition,Expired,EAST DOVER,District 13,0,1,Dwelling - Single Detached,44.491298054543556,-63.84049121418741
5367,BPRES-2021-12800,2022-02-10,1100000,New Building,New Building,Completed,BEDFORD,District 16,4,3,Dwelling - Semi-Detached,44.73729370741287,-63.64998195878541
5368,BPRES-2021-12816,,50000,New Building,New Building,Withdrawn,DARTMOUTH,District 05,1,1,Dwelling - Single Detached,44.68273548605877,-63.59608692339458
5369,BPRES-2021-12827,2021-08-24,500000,New Building,New Building,Completed,TIMBERLEA,District 12,4,3,Dwelling - Semi-Detached,44.650704870914524,-63.73552535351969
5370,BPRES-2021-12831,,6000,Renovation,Renovation,Application Incomplete,BEDFORD,District 16,1,2,Dwelling - Backyard Suite,44.71610907722115,-63.68204922180326
5371,BPRES-2021-12871,2021-11-19,16800,Addition,Addition,Expired,DARTMOUTH,District 06,0,1,Dwelling - Single Detached,44.69415802957488,-63.53523472086109
5372,BPRES-2021-12934,2021-08-06,29709,Renovation,Renovation,Completed,HALIFAX,District 09,0,2,Dwelling - Single Detached,44.64775599280543,-63.61202210549053
5373,BPRES-2021-12976,2021-09-23,76000,Renovation,Renovation,Completed,HALIFAX,District 08,1,2,Dwelling - Multiple Units,44.67271414966477,-63.61287378230416
5374,BPRES-2021-12996,2021-08-27,42600,New Building,New Building,Completed,HEAD OF ST MARGARETS BAY,District 13,0,1,Accessory Structure,44.667644690239726,-63.9131395137147
5375,BPRES-2021-13028,2021-08-06,45642,Renovation,Renovation,Completed,HAMMONDS PLAINS,District 14,0,3,Dwelling - Single Detached,44.784399719945995,-63.76933394627673
5376,BPRES-2021-13056,2021-10-07,39629,Renovation,Renovation,Expired,DUTCH SETTLEMENT,District 01,0,2,Dwelling - Single Detached,44.980815529650194,-63.45021940110589
5377,BPRES-2021-13079,2021-08-13,33500,New Building,New Building,Completed,COLE HARBOUR,District 04,0,1,Accessory Structure,44.68401556193654,-63.48357021263654
5378,BPRES-2021-13118,2021-08-20,555000,New Building,New Building,Completed,UPPER TANTALLON,District 13,1,2,Dwelling - Single Detached,44.73057927795427,-63.88909265412065
5379,BPRES-2021-13151,2021-09-28,1000000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,4,1,Dwelling - Townhouse,44.79589650615877,-63.72458989937263
5380,BPRES-2021-13182,2022-02-24,510000,New Building,New Building,Completed,DARTMOUTH,District 03,4,2,Dwelling - Semi-Detached,44.64830695722004,-63.53602515703086
5381,BPRES-2021-13212,2021-08-18,7500,New Building,New Building,Expired (Closed),BEDFORD,District 16,0,1,Accessory Structure,44.72531998666699,-63.6660539993916
5382,BPRES-2021-13256,2021-08-20,300000,New Building,New Building,Completed,WEST CHEZZETCOOK,District 02,1,2,Dwelling - Single Detached,44.71998157373174,-63.27057701115148
5383,BPRES-2021-13270,2021-09-08,600000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.779313604708186,-63.75039264282691
5384,BPRES-2021-13311,2021-09-02,57000,New Building,New Building,Expired,FALL RIVER,District 01,0,2,Accessory Structure,44.818267160086634,-63.6358817376844
5385,BPRES-2021-13328,2021-11-03,20000,New Building,New Building,Expired,BEAVER BANK,District 15,0,1,Accessory Structure,44.81032411760735,-63.669346146432105
5386,BPRES-2021-13345,2021-09-23,600000,Renovation,Renovation,Expired,HAMMONDS PLAINS,District 14,0,2,Dwelling - Single Detached,44.727946528090676,-63.7466482613881
5387,BPRES-2021-13371,2021-09-10,21200,New Building,New Building,Issued,MIDDLE SACKVILLE,District 14,0,1,Accessory Structure,44.792450078876364,-63.709520173813026
5388,BPRES-2021-13381,2021-10-06,231000,New Building,New Building,Expired,FALL RIVER,District 01,1,2,Dwelling - Single Detached,44.807232676143926,-63.59964132325078
5389,BPRES-2021-13413,2021-09-29,450000,New Building,New Building,Completed,BEAVER BANK,District 15,1,1,Dwelling - Single Detached,44.816861673573015,-63.70033985846019
5390,BPRES-2021-13465,2021-09-10,200000,New Building,New Building,Completed,HERRING COVE,District 11,1,2,Dwelling - Single Detached,44.576096662883636,-63.571384096276155
5391,BPRES-2021-13510,2021-09-28,820500,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,1,Dwelling - Single Detached,44.780072165857135,-63.73874868551354
5392,BPRES-2021-13547,,1000,Renovation,Renovation,Applicant Revisions,BEDFORD,District 16,1,2,Dwelling - Single Detached,44.727631874065416,-63.6500560375859
5393,BPRES-2021-13580,2021-09-15,59000,New Building,New Building,Expired,MUSQUODOBOIT HARBOUR,District 02,1,1,Dwelling - Single Detached,44.813105101272924,-63.184746025819784
5394,BPRES-2021-13609,2021-10-29,350000,New Building,New Building,Completed,LAKE CHARLOTTE,District 02,2,1,Dwelling - Semi-Detached,44.768424569556636,-62.94913334851501
5395,BPRES-2021-13631,2021-12-30,287000,New Building,New Building,Completed,HERRING COVE,District 11,2,2,Dwelling - Multiple Units,44.57536466642824,-63.573960586817044
5396,BPRES-2021-13661,2021-08-31,350000,New Building,New Building,Completed,HERRING COVE,District 11,1,3,Dwelling - Single Detached,44.580432740866875,-63.57480617334687
5397,BPRES-2021-13715,2021-09-01,662000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.78655902198994,-63.74819604543374
5398,BPRES-2021-13777,,126000,New Building,New Building,Withdrawn,BROOKSIDE,District 13,1,1,Dwelling - Backyard Suite,44.554523938496324,-63.722043755647015
5399,BPRES-2021-13819,2021-09-16,84000,New Building,New Building,Completed,HUBLEY,District 13,1,1,Dwelling - Single Detached,44.68028072413397,-63.82575660851031
5400,BPRES-2021-13834,2021-09-01,35000,Renovation,Renovation,Expired (Closed),MIDDLE SACKVILLE,District 14,0,1,Dwelling - Single Detached,44.80380006029078,-63.747450049049355
5401,BPRES-2021-13855,2021-10-15,26000,New Building,New Building,Issued,EAST PETPESWICK,District 02,0,1,Accessory Structure,44.68887230502388,-63.14538111984159
5402,BPRES-2021-13872,2021-10-12,11000,New Building,New Building,Expired (Closed),DARTMOUTH,District 06,0,1,Accessory Structure,44.688113885364565,-63.50397477543579
5403,BPRES-2021-13895,2021-09-23,150000,Addition,Addition,Completed,HALIFAX,District 09,0,2,Dwelling - Single Detached,44.65071580237596,-63.626830059000596
5404,BPRES-2021-13937,2021-09-02,50000,New Building,New Building,Completed,BLACK POINT,District 13,0,1,Accessory Structure,44.65487396100098,-63.97369849829996
5405,BPRES-2021-14038,,8800,New Building,New Building,Withdrawn,HUBLEY,District 13,0,1,Accessory Structure,44.67995270921027,-63.82334443477952
5406,BPRES-2021-14068,2021-09-17,35000,New Building,New Building,Completed,HEAD OF ST MARGARETS BAY,District 13,0,1,Accessory Structure,44.66704412037583,-63.913916860231296
5407,BPRES-2021-14127,2021-10-04,10000,New Building,New Building,Expired (Closed),HALIFAX,District 09,0,1,Accessory Structure,44.641577600902856,-63.633262403768434
5408,BPRES-2021-14147,2021-09-17,75000,New Building,New Building,Completed,BROOKSIDE,District 13,0,1,Accessory Structure,44.55518372307529,-63.713704251363076
5409,BPRES-2021-14209,2022-09-21,480000,New Building,New Building,Completed,SPRY BAY,District 02,1,2,Dwelling - Seasonal,44.842131497215846,-62.606754763537865
5410,BPRES-2021-14225,2021-09-20,135000,New Building,New Building,Completed,DARTMOUTH,District 06,1,2,Dwelling - Single Detached,44.69787613392221,-63.53565046796012
5411,BPRES-2021-14277,2021-10-15,450000,New Building,New Building,Completed,PORTERS LAKE,District 02,1,1,Dwelling - Single Detached,44.75099829004655,-63.33602143878667
5412,BPRES-2021-14290,2021-10-18,350000,New Building,New Building,Completed,EAST PRESTON,District 04,1,1,Dwelling - Single Detached,44.717575847243054,-63.39844275290701
5413,BPRES-2021-14319,2021-09-28,400000,New Building,New Building,Expired (Closed),HAMMONDS PLAINS,District 14,1,2,Dwelling - Single Detached,44.717230229441924,-63.77082935204098
5414,BPRES-2021-14327,2021-09-10,500000,New Building,New Building,Completed,TANTALLON,District 13,1,2,Dwelling - Single Detached,44.656965980488465,-63.91680796777363
5415,BPRES-2021-14347,2022-01-06,40000,Addition,Addition,Expired,HALIFAX,District 08,0,3,Dwelling - Townhouse,44.66590175506639,-63.604811724080626
5416,BPRES-2021-14360,2021-10-26,255000,New Building,New Building,Completed,BEAVER BANK,District 15,2,1,Dwelling - Multiple Units,44.84849271176706,-63.682391894708715
5417,BPRES-2021-14380,2021-09-21,125000,New Building,New Building,Completed,BROOKSIDE,District 13,1,1,Dwelling - Single Detached,44.554523938496324,-63.722043755647015
5418,BPRES-2021-14458,,180000,New Building,New Building,Applicant Revisions,UPPER TANTALLON,District 13,1,1,Dwelling - Backyard Suite,44.68519645682373,-63.88378590199719
5419,BPRES-2021-14481,2021-11-05,100000,Addition,Addition,Completed,HALIFAX,District 08,1,1,Dwelling - Backyard Suite,44.65353979737765,-63.59569068349983
5420,BPRES-2021-14509,2021-10-19,125000,Addition,Addition,Completed,DARTMOUTH,District 05,1,2,Dwelling - Semi-Detached,44.682036177707005,-63.56721404448336
5421,BPRES-2021-14539,2021-10-07,750000,New Building,New Building,Cancelled,MINEVILLE,District 02,1,1,Dwelling - Single Detached,44.701517143823864,-63.37557679821417
5422,BPRES-2021-14569,,10000,New Building,New Building,Withdrawn,,District 10,2,3,Dwelling - Semi-Detached,,
5423,BPRES-2021-14601,,,Addition,Addition,Withdrawn,HALIFAX,District 08,1,1,Dwelling - Multiple Units,44.67271414966477,-63.61287378230416
5424,BPRES-2021-14639,2021-09-23,450000,New Building,New Building,Completed,LUCASVILLE,District 14,1,2,Dwelling - Single Detached,44.76933039962371,-63.71118205618354
5425,BPRES-2021-14696,2021-12-02,25000,New Building,New Building,Completed,TIMBERLEA,District 12,0,1,Accessory Structure,44.65417128188534,-63.731347482128314
5426,BPRES-2021-14710,2022-01-13,2430000,New Building,New Building,Completed,HALIFAX,District 07,1,2,Dwelling - Single Detached,44.62411772877162,-63.57634142848112
5427,BPRES-2021-14786,2021-09-21,15000,Renovation,Renovation,Expired (Closed),HALIFAX,District 08,0,1,Dwelling - Single Detached,44.66375871506617,-63.60812588985312
5428,BPRES-2021-14826,2021-10-04,25000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Backyard Suite,44.7872595803752,-63.75551983610268
5429,BPRES-2021-14913,2021-09-28,45500,Renovation,Renovation,Expired,DARTMOUTH,District 03,0,2,Dwelling - Single Detached,44.661501535376125,-63.517714957047694
5430,BPRES-2021-14940,2021-11-22,404430,New Building,New Building,Completed,COW BAY,District 03,1,2,Dwelling - Single Detached,44.63231944943276,-63.432458239797356
5431,BPRES-2021-14975,2021-11-19,23000,New Building,New Building,Expired (Closed),LAKEVIEW,District 01,0,1,Accessory Structure,44.77109160436079,-63.62888557791362
5432,BPRES-2021-14986,2021-11-01,15000,Renovation,Renovation,Completed,HALIFAX,District 11,1,1,Dwelling - Backyard Suite,44.602257287179,-63.608281536526185
5433,BPRES-2021-15068,2022-03-07,880000,New Building,New Building,Completed,PORTERS LAKE,District 02,1,2,Dwelling - Single Detached,44.75521109738026,-63.303555646697546
5434,BPRES-2021-15097,2022-01-05,550000,Renovation,Renovation,Completed,FALL RIVER,District 01,0,2,Dwelling - Single Detached,44.834598813403844,-63.651782369438415
5435,BPRES-2021-15128,2021-09-28,48162,Renovation,Renovation,Expired (Closed),COLE HARBOUR,District 04,0,2,Dwelling - Single Detached,44.66230914556446,-63.478666969418725
