commodity,fiscal_year,farms,year_total_farms,share_pct,prev_year_farms,yoy_change_farms,yoy_pct
Apple,2015-2016,91,2601,3.5,,,
Apple,2016-2017,23,2442,0.94,91,-68,-74.73
Apple,2017-2018,25,2585,0.97,23,2,8.7
Apple,2020-2021,188,2669,7.04,,,
Apple,2021-2022,76,1983,3.83,188,-112,-59.57
Apple,2022-2023,66,1832,3.6,76,-10,-13.16
Apple,2023-2024,78,2032,3.84,66,12,18.18
Apple,2024-2025,73,1882,3.88,78,-5,-6.41
Beef,2015-2016,612,2601,23.53,,,
Beef,2016-2017,92,2442,3.77,612,-520,-84.97
Beef,2017-2018,96,2585,3.71,92,4,4.35
Beef,2018-2019,90,2583,3.48,96,-6,-6.25
Beef,2019-2020,91,2459,3.7,90,1,1.11
Beef,2020-2021,186,2669,6.97,91,95,104.4
Beef,2021-2022,446,1983,22.49,186,260,139.78
Beef,2022-2023,421,1832,22.98,446,-25,-5.61
Beef,2023-2024,450,2032,22.15,421,29,6.89
Beef,2024-2025,431,1882,22.9,450,-19,-4.22
Blueberries,2015-2016,415,2601,15.96,,,
Blueberries,2016-2017,30,2442,1.23,415,-385,-92.77
Blueberries,2017-2018,29,2585,1.12,30,-1,-3.33
Blueberries,2018-2019,36,2583,1.39,29,7,24.14
Blueberries,2019-2020,36,2459,1.46,36,0,0.0
Blueberries,2020-2021,48,2669,1.8,36,12,33.33
Breeding Horses,2015-2016,29,2601,1.11,,,
Breeding Horses,2016-2017,44,2442,1.8,29,15,51.72
Breeding Horses,2017-2018,32,2585,1.24,44,-12,-27.27
Breeding Horses,2018-2019,40,2583,1.55,32,8,25.0
Breeding Horses,2019-2020,36,2459,1.46,40,-4,-10.0
Breeding Horses,2020-2021,160,2669,5.99,36,124,344.44
Chicken,2015-2016,88,2601,3.38,,,
Chicken,2016-2017,236,2442,9.66,88,148,168.18
Chicken,2017-2018,226,2585,8.74,236,-10,-4.24
Chicken,2018-2019,234,2583,9.06,226,8,3.54
Chicken,2019-2020,210,2459,8.54,234,-24,-10.26
Chicken,2020-2021,358,2669,13.41,210,148,70.48
Chicken,2021-2022,73,1983,3.68,358,-285,-79.61
Chicken,2022-2023,64,1832,3.49,73,-9,-12.33
Chicken,2023-2024,90,2032,4.43,64,26,40.63
Chicken/Turkey,2024-2025,84,1882,4.46,,,
Christmas Tree,2015-2016,25,2601,0.96,,,
Christmas Tree,2016-2017,49,2442,2.01,25,24,96.0
Christmas Tree,2017-2018,50,2585,1.93,49,1,2.04
Christmas Tree,2018-2019,46,2583,1.78,50,-4,-8.0
Christmas Tree,2019-2020,43,2459,1.75,46,-3,-6.52
Christmas Tree,2020-2021,3,2669,0.11,43,-40,-93.02
Christmas Tree,2021-2022,28,1983,1.41,3,25,833.33
Christmas Tree,2022-2023,36,1832,1.97,28,8,28.57
Christmas Tree,2023-2024,43,2032,2.12,36,7,19.44
Christmas Tree,2024-2025,32,1882,1.7,43,-11,-25.58
Cranberries,2021-2022,28,1983,1.41,,,
Custom Work,2015-2016,42,2601,1.61,,,
Custom Work,2016-2017,215,2442,8.8,42,173,411.9
Custom Work,2017-2018,228,2585,8.82,215,13,6.05
Custom Work,2018-2019,211,2583,8.17,228,-17,-7.46
Custom Work,2019-2020,229,2459,9.31,211,18,8.53
Custom Work,2020-2021,144,2669,5.4,229,-85,-37.12
Custom Work,2021-2022,180,1983,9.08,144,36,25.0
Custom Work,2022-2023,30,1832,1.64,180,-150,-83.33
Custom Work,2023-2024,39,2032,1.92,30,9,30.0
Custom Work,2024-2025,28,1882,1.49,39,-11,-28.21
Dairy,2015-2016,239,2601,9.19,,,
Dairy,2016-2017,3,2442,0.12,239,-236,-98.74
Dairy,2017-2018,3,2585,0.12,3,0,0.0
Dairy,2018-2019,2,2583,0.08,3,-1,-33.33
Dairy,2019-2020,4,2459,0.16,2,2,100.0
Dairy,2020-2021,76,2669,2.85,4,72,1800.0
Dairy Milk Production,2021-2022,12,1983,0.61,,,
Dairy Milk Production,2022-2023,169,1832,9.22,12,157,1308.33
Dairy Milk Production,2023-2024,194,2032,9.55,169,25,14.79
Dairy Milk Production,2024-2025,174,1882,9.25,194,-20,-10.31
Dairy Replacements,2021-2022,39,1983,1.97,,,
Dairy Replacements,2022-2023,5,1832,0.27,39,-34,-87.18
Dairy Replacements,2023-2024,8,2032,0.39,5,3,60.0
Dairy Replacements,2024-2025,7,1882,0.37,8,-1,-12.5
Egg,2015-2016,52,2601,2.0,,,
Egg,2016-2017,17,2442,0.7,52,-35,-67.31
Egg,2017-2018,20,2585,0.77,17,3,17.65
Egg,2020-2021,68,2669,2.55,,,
Egg,2021-2022,178,1983,8.98,68,110,161.76
Egg,2022-2023,34,1832,1.86,178,-144,-80.9
Egg,2023-2024,41,2032,2.02,34,7,20.59
Egg,2024-2025,44,1882,2.34,41,3,7.32
Forage,2015-2016,225,2601,8.65,,,
Forage,2016-2017,63,2442,2.58,225,-162,-72.0
Forage,2017-2018,63,2585,2.44,63,0,0.0
Forage,2018-2019,55,2583,2.13,63,-8,-12.7
Forage,2019-2020,56,2459,2.28,55,1,1.82
Forage,2020-2021,29,2669,1.09,56,-27,-48.21
Forage,2021-2022,42,1983,2.12,29,13,44.83
Forage,2022-2023,156,1832,8.52,42,114,271.43
Forage,2023-2024,156,2032,7.68,156,0,0.0
Forage,2024-2025,159,1882,8.45,156,3,1.92
Fox,2015-2016,2,2601,0.08,,,
Fox,2016-2017,57,2442,2.33,2,55,2750.0
Fox,2017-2018,59,2585,2.28,57,2,3.51
Fox,2018-2019,43,2583,1.66,59,-16,-27.12
Fox,2019-2020,68,2459,2.77,43,25,58.14
Fox,2020-2021,8,2669,0.3,68,-60,-88.24
Fox,2021-2022,55,1983,2.77,8,47,587.5
Goats,2015-2016,10,2601,0.38,,,
Goats,2016-2017,38,2442,1.56,10,28,280.0
Goats,2017-2018,28,2585,1.08,38,-10,-26.32
Goats,2018-2019,36,2583,1.39,28,8,28.57
Goats,2019-2020,35,2459,1.42,36,-1,-2.78
Goats,2020-2021,46,2669,1.72,35,11,31.43
Grain,2015-2016,77,2601,2.96,,,
Grain,2016-2017,24,2442,0.98,77,-53,-68.83
Grain,2017-2018,23,2585,0.89,24,-1,-4.17
Grain,2018-2019,9,2583,0.35,23,-14,-60.87
Grain,2019-2020,24,2459,0.98,9,15,166.67
Grain,2020-2021,124,2669,4.65,24,100,416.67
Grain,2021-2022,30,1983,1.51,124,-94,-75.81
Grain/Oilseed,2022-2023,34,1832,1.86,,,
Grain/Oilseed,2023-2024,51,2032,2.51,34,17,50.0
Grain/Oilseed,2024-2025,40,1882,2.13,51,-11,-21.57
Grapes,2017-2018,30,2585,1.16,,,
Grapes,2018-2019,34,2583,1.32,30,4,13.33
Grapes,2019-2020,27,2459,1.1,34,-7,-20.59
Grapes,2020-2021,61,2669,2.29,27,34,125.93
Grapes,2021-2022,13,1983,0.66,61,-48,-78.69
Grapes,2022-2023,50,1832,2.73,13,37,284.62
Grapes,2023-2024,61,2032,3.0,50,11,22.0
Grapes,2024-2025,62,1882,3.29,61,1,1.64
Greenhouse Crop,2015-2016,37,2601,1.42,,,
Greenhouse Crop,2016-2017,36,2442,1.47,37,-1,-2.7
Greenhouse Crop,2017-2018,53,2585,2.05,36,17,47.22
Greenhouse Crop,2018-2019,60,2583,2.32,53,7,13.21
Greenhouse Crop,2019-2020,51,2459,2.07,60,-9,-15.0
Greenhouse Crop,2020-2021,10,2669,0.37,51,-41,-80.39
Greenhouse Crop,2021-2022,26,1983,1.31,10,16,160.0
Greenhouse Crop,2022-2023,31,1832,1.69,26,5,19.23
Greenhouse Crop,2023-2024,34,2032,1.67,31,3,9.68
Greenhouse Crop,2024-2025,26,1882,1.38,34,-8,-23.53
Haskap/Hops,2024-2025,9,1882,0.48,,,
Haskaps,2017-2018,7,2585,0.27,,,
Haskaps,2018-2019,2,2583,0.08,7,-5,-71.43
Haskaps,2019-2020,3,2459,0.12,2,1,50.0
Haskaps,2020-2021,284,2669,10.64,3,281,9366.67
Haskaps,2021-2022,37,1983,1.87,284,-247,-86.97
Haskaps/Hops,2022-2023,12,1832,0.66,,,
Haskaps/Hops,2023-2024,13,2032,0.64,12,1,8.33
Hemp,2021-2022,47,1983,2.37,,,
High Bush Blueberries,2021-2022,6,1983,0.3,,,
High Bush Blueberries,2022-2023,13,1832,0.71,6,7,116.67
High Bush Blueberries,2023-2024,17,2032,0.84,13,4,30.77
High Bush Blueberries,2024-2025,13,1882,0.69,17,-4,-23.53
Hog,2015-2016,33,2601,1.27,,,
Hog,2016-2017,50,2442,2.05,33,17,51.52
Hog,2017-2018,36,2585,1.39,50,-14,-28.0
Hog,2018-2019,40,2583,1.55,36,4,11.11
Hog,2019-2020,41,2459,1.67,40,1,2.5
Hog,2020-2021,67,2669,2.51,41,26,63.41
Hog,2021-2022,233,1983,11.75,67,166,247.76
Hog,2022-2023,35,1832,1.91,233,-198,-84.98
Hog,2023-2024,35,2032,1.72,35,0,0.0
Hog,2024-2025,24,1882,1.28,35,-11,-31.43
"Honey, Bees, Pollination",2015-2016,42,2601,1.61,,,
"Honey, Bees, Pollination",2016-2017,7,2442,0.29,42,-35,-83.33
"Honey, Bees, Pollination",2017-2018,81,2585,3.13,7,74,1057.14
"Honey, Bees, Pollination",2018-2019,66,2583,2.56,81,-15,-18.52
"Honey, Bees, Pollination",2019-2020,50,2459,2.03,66,-16,-24.24
"Honey, Bees, Pollination",2020-2021,21,2669,0.79,50,-29,-58.0
"Honey, Bees, Pollination",2021-2022,29,1983,1.46,21,8,38.1
"Honey, Bees, Pollination",2022-2023,38,1832,2.07,29,9,31.03
"Honey, Bees, Pollination",2023-2024,43,2032,2.12,38,5,13.16
"Honey, Bees, Pollination",2024-2025,46,1882,2.44,43,3,6.98
Hops,2017-2018,8,2585,0.31,,,
Hops,2019-2020,4,2459,0.16,,,
Hops,2020-2021,4,2669,0.15,4,0,0.0
Hops,2021-2022,21,1983,1.06,4,17,425.0
Low Bush Blueberries,2021-2022,181,1983,9.13,,,
Low Bush Blueberries,2022-2023,209,1832,11.41,181,28,15.47
Low Bush Blueberries,2023-2024,251,2032,12.35,209,42,20.1
Low Bush Blueberries,2024-2025,216,1882,11.48,251,-35,-13.94
Maple,2015-2016,34,2601,1.31,,,
Maple,2016-2017,36,2442,1.47,34,2,5.88
Maple,2017-2018,165,2585,6.38,36,129,358.33
Maple,2018-2019,269,2583,10.41,165,104,63.03
Maple,2019-2020,225,2459,9.15,269,-44,-16.36
Maple,2020-2021,148,2669,5.55,225,-77,-34.22
Maple,2021-2022,59,1983,2.98,148,-89,-60.14
Maple,2022-2023,36,1832,1.97,59,-23,-38.98
Maple,2023-2024,34,2032,1.67,36,-2,-5.56
Maple,2024-2025,38,1882,2.02,34,4,11.76
Mink,2015-2016,106,2601,4.08,,,
Mink,2016-2017,93,2442,3.81,106,-13,-12.26
Mink,2017-2018,91,2585,3.52,93,-2,-2.15
Mink,2018-2019,79,2583,3.06,91,-12,-13.19
Mink,2019-2020,89,2459,3.62,79,10,12.66
Mink,2020-2021,47,2669,1.76,89,-42,-47.19
Mink,2021-2022,9,1983,0.45,47,-38,-80.85
Mink/Fox,2022-2023,20,1832,1.09,,,
Mink/Fox,2023-2024,17,2032,0.84,20,-3,-15.0
Mink/Fox,2024-2025,17,1882,0.9,17,0,0.0
Nursery Sod,2015-2016,11,2601,0.42,,,
Nursery Sod,2016-2017,11,2442,0.45,11,0,0.0
Nursery Sod,2017-2018,25,2585,0.97,11,14,127.27
Nursery Sod,2018-2019,24,2583,0.93,25,-1,-4.0
Nursery Sod,2019-2020,26,2459,1.06,24,2,8.33
Nursery Sod,2020-2021,57,2669,2.14,26,31,119.23
Oilseeds,2021-2022,23,1983,1.16,,,
Other,2015-2016,172,2601,6.61,,,
Other,2016-2017,118,2442,4.83,172,-54,-31.4
Other,2017-2018,7,2585,0.27,118,-111,-94.07
Other,2018-2019,6,2583,0.23,7,-1,-14.29
Other,2019-2020,6,2459,0.24,6,0,0.0
Other,2020-2021,56,2669,2.1,6,50,833.33
Other,2022-2023,178,1832,9.72,,,
Other,2023-2024,182,2032,8.96,178,4,2.25
Other,2024-2025,184,1882,9.78,182,2,1.1
Sheep/Lamb,2015-2016,92,2601,3.54,,,
Sheep/Lamb,2016-2017,85,2442,3.48,92,-7,-7.61
Sheep/Lamb,2017-2018,142,2585,5.49,85,57,67.06
Sheep/Lamb,2018-2019,129,2583,4.99,142,-13,-9.15
Sheep/Lamb,2019-2020,130,2459,5.29,129,1,0.78
Sheep/Lamb,2020-2021,233,2669,8.73,130,103,79.23
Sheep/Lamb,2021-2022,8,1983,0.4,233,-225,-96.57
Sheep/Lamb,2022-2023,66,1832,3.6,8,58,725.0
Sheep/Lamb,2023-2024,62,2032,3.05,66,-4,-6.06
Sheep/Lamb,2024-2025,60,1882,3.19,62,-2,-3.23
Small Fruits,2021-2022,104,1983,5.24,,,
Small Fruits,2023-2024,4,2032,0.2,,,
Small Fruits,2024-2025,3,1882,0.16,4,-1,-25.0
Strawberry,2015-2016,26,2601,1.0,,,
Strawberry,2016-2017,97,2442,3.97,26,71,273.08
Strawberry,2017-2018,94,2585,3.64,97,-3,-3.09
Strawberry,2018-2019,94,2583,3.64,94,0,0.0
Strawberry,2019-2020,88,2459,3.58,94,-6,-6.38
Strawberry,2020-2021,166,2669,6.22,88,78,88.64
Strawberry,2022-2023,22,1832,1.2,,,
Strawberry,2023-2024,27,2032,1.33,22,5,22.73
Strawberry,2024-2025,24,1882,1.28,27,-3,-11.11
Turkey,2015-2016,7,2601,0.27,,,
Turkey,2016-2017,611,2442,25.02,7,604,8628.57
Turkey,2017-2018,590,2585,22.82,611,-21,-3.44
Turkey,2018-2019,598,2583,23.15,590,8,1.36
Turkey,2019-2020,557,2459,22.65,598,-41,-6.86
Turkey,2020-2021,66,2669,2.47,557,-491,-88.15
Turkey,2022-2023,6,1832,0.33,,,
Turkey,2023-2024,3,2032,0.15,6,-3,-50.0
Vegetable Crop,2015-2016,134,2601,5.15,,,
Vegetable Crop,2016-2017,407,2442,16.67,134,273,203.73
Vegetable Crop,2017-2018,374,2585,14.47,407,-33,-8.11
Vegetable Crop,2018-2019,380,2583,14.71,374,6,1.6
Vegetable Crop,2019-2020,330,2459,13.42,380,-50,-13.16
Vegetable Crop,2020-2021,11,2669,0.41,330,-319,-96.67
Vegetable Crop,2022-2023,101,1832,5.51,,,
Vegetable Crop,2023-2024,99,2032,4.87,101,-2,-1.98
Vegetable Crop,2024-2025,88,1882,4.68,99,-11,-11.11
